District,Update_Count,New_Enrolment_Count,Zone,Recommended_Action
Hamirpur,120123,4421,Ghost Zone,Deploy Mobile Aadhaar Vans
Hapur,131393,8275,Ghost Zone,Deploy Mobile Aadhaar Vans
Hardoi,425121,28548,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Hathras,164749,7729,Ghost Zone,Deploy Mobile Aadhaar Vans
Jalaun,168622,6621,Ghost Zone,Deploy Mobile Aadhaar Vans
Jaunpur,424381,18615,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Jhansi,232942,8819,Balanced Zone,Standard Operations
Jyotiba Phule Nagar,1880,99,Ghost Zone,Deploy Mobile Aadhaar Vans
Kannauj,164457,7696,Ghost Zone,Deploy Mobile Aadhaar Vans
Kanpur Dehat,181781,9009,Balanced Zone,Standard Operations
Kanpur Nagar,437790,27578,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Kasganj,156150,7455,Ghost Zone,Deploy Mobile Aadhaar Vans
Kaushambi,204805,8526,Balanced Zone,Standard Operations
Kheri,456284,27354,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Kushinagar,356014,12847,Balanced Zone,Standard Operations
Lalitpur,156610,5763,Ghost Zone,Deploy Mobile Aadhaar Vans
Lucknow,514977,28904,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Maharajganj,255489,19702,Balanced Zone,Standard Operations
Mahoba,98982,3640,Ghost Zone,Deploy Mobile Aadhaar Vans
Mainpuri,181076,13101,Ghost Zone,Deploy Mobile Aadhaar Vans
Mathura,283610,13771,Balanced Zone,Standard Operations
Mau,219247,8911,Balanced Zone,Standard Operations
Meerut,410819,26337,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Mirzapur,236660,9140,Balanced Zone,Standard Operations
Moradabad,405184,23522,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Muzaffarnagar,372793,14129,Balanced Zone,Standard Operations
Pilibhit,327274,15230,Balanced Zone,Standard Operations
Pratapgarh,294699,12349,Balanced Zone,Standard Operations
Prayagraj,66732,3232,Ghost Zone,Deploy Mobile Aadhaar Vans
Rae Bareli,298285,11435,Balanced Zone,Standard Operations
Rampur,306354,22178,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Saharanpur,422741,21139,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Sambhal,257941,10280,Balanced Zone,Standard Operations
Sant Kabir Nagar,204268,7393,Balanced Zone,Standard Operations
Sant Ravidas Nagar,150951,5634,Ghost Zone,Deploy Mobile Aadhaar Vans
Shahjahanpur,384217,26063,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Shamli,210156,9521,Balanced Zone,Standard Operations
Shrawasti,145485,6153,Ghost Zone,Deploy Mobile Aadhaar Vans
Siddharthnagar,255109,16058,Balanced Zone,Standard Operations
Sitapur,524055,34257,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Sonbhadra,212264,6019,Balanced Zone,Standard Operations
Sultanpur,224673,12785,Balanced Zone,Standard Operations
Unnao,351847,21537,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Varanasi,423635,26301,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
